0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:47 +0800] "GET /TixToGo/js/nouislider.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:47 +0800] "GET /TixToGo/js/bootstrap-datepicker.js HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:47 +0800] "GET /TixToGo/js/material-kit.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:47 +0800] "GET /TixToGo/js/jquery.min.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:47 +0800] "GET /TixToGo/js/bootstrap.min.js HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:47 +0800] "GET /TixToGo/js/material.min.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:47 +0800] "GET /TixToGo/js/nouislider.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:47 +0800] "GET /TixToGo/js/bootstrap-datepicker.js HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:47 +0800] "GET /TixToGo/js/material-kit.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:49 +0800] "GET /TixToGo/MoviesPage.jsp HTTP/1.1" 500 2718
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /TixToGo/Booking.jsp HTTP/1.1" 200 12340
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /TixToGo/img/movieposters/byb2.jpg HTTP/1.1" 200 304395
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /TixToGo/img/lumos2.png HTTP/1.1" 200 26144
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /TixToGo/js/jquery.min.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /TixToGo/js/bootstrap.min.js HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /TixToGo/js/material.min.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /TixToGo/js/bootstrap-datepicker.js HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /TixToGo/js/nouislider.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /TixToGo/js/material-kit.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /TixToGo/img/movieposters/logan.jpg HTTP/1.1" 200 259262
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /TixToGo/img/movieposters/kong.jpg HTTP/1.1" 200 271449
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /img/arrow-left.cur HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /img/arrow-right.cur HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /TixToGo/img/square.png HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1089
